DugumId,Aktiflik,Etkilesim,Baglanti Sayisi,Komsular
1,0.8563514913432627,15,4,5 11 12 14
2,0.3102943420575771,9,0,
3,0.4604534193361254,15,3,5 9 10
4,0.6028682710600614,15,2,6 10
5,0.5805941190033995,3,3,1 3 6
6,0.34003725966495246,7,4,4 5 9 13
7,0.06485007829240508,8,0,
8,0.06900566198539126,7,0,
9,0.567826494735787,14,3,3 6 15
10,0.5782489446414196,16,2,3 4
11,0.43555362634670836,18,1,1
12,0.528333849724645,20,1,1
13,0.46404595154906925,15,1,6
14,0.4002343768588944,19,1,1
15,0.6241775860007336,13,1,9
